id,tipo_desc,latitude,longitude,created_at
M20260271487,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.672964976743842,-38.66972316458774,2026-04-05 02:31:25.781 -0300
M20260271486,PORTE ILEGAL DE ARMA,-3.6901320952099104,-40.34665484330565,2026-04-05 02:31:25.784 -0300
M20260271484,PORTE ILEGAL DE ARMA,-3.664049483635246,-40.37139572038256,2026-04-05 02:31:25.791 -0300
M20260271560,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7135420487570436,-38.59412253417573,2026-04-05 02:41:24.135 -0300
M20260271561,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.893860268308865,-38.684297472777935,2026-04-05 02:41:24.170 -0300
M20260271557,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.841605633871221,-37.7819298216345,2026-04-05 02:41:24.173 -0300
M20260271556,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.845673649439109,-38.52746609599796,2026-04-05 02:41:24.176 -0300
M20260271554,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.751888592968047,-38.59825943777014,2026-04-05 02:41:24.179 -0300
M20260271553,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.740267930934139,-38.62055745175362,2026-04-05 02:41:24.184 -0300
M20260271552,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7642207361432907,-38.6236037035261,2026-04-05 02:41:24.187 -0300
M20260271551,MARIA DA PENHA,-3.8658953810271606,-38.62268578609537,2026-04-05 02:41:24.191 -0300
M20260271550,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.826236521655495,-38.581330464724026,2026-04-05 02:41:24.194 -0300
M20260271549,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.567542235845813,-41.089330349028124,2026-04-05 02:41:24.197 -0300
M20260271548,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.488047270337848,-38.98740477524927,2026-04-05 02:41:24.201 -0300
M20260271547,MARIA DA PENHA,-3.734836906075869,-38.59667223978531,2026-04-05 02:41:24.204 -0300
M20260271544,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.930472004712002,-38.51577040554964,2026-04-05 02:41:24.206 -0300
M20260271543,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8557296019066576,-38.58032814030606,2026-04-05 02:41:24.209 -0300
M20260271546,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7679747364448657,-38.610617586295156,2026-04-05 02:41:24.211 -0300
M20260271541,MARIA DA PENHA,-4.026207647902797,-38.309557017436596,2026-04-05 02:41:24.214 -0300
M20260271540,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7605278935079967,-38.44324555574527,2026-04-05 02:41:24.217 -0300
M20260271539,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.760339417563293,-38.53852798726076,2026-04-05 02:41:24.219 -0300
M20260271538,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7920667331368256,-38.502062252988416,2026-04-05 02:41:24.222 -0300
M20260271536,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.778131452567901,-38.504858964319624,2026-04-05 02:41:24.225 -0300
M20260271534,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.886137621214528,-38.60933637188237,2026-04-05 02:41:24.227 -0300
M20260271532,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7498313909259933,-38.527708142236655,2026-04-05 02:41:24.230 -0300
M20260271527,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.1845524926035855,-38.46894585721439,2026-04-05 02:41:24.232 -0300
M20260271526,MARIA DA PENHA,-3.8468803893957717,-38.61684296319253,2026-04-05 02:41:24.235 -0300
M20260271525,TRÁFICO,-5.1959823509287615,-39.28685782057926,2026-04-05 02:41:24.237 -0300
M20260271524,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.9135080884708198,-38.385592764506356,2026-04-05 02:41:24.245 -0300
M20260271523,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.918774242716536,-38.365387634473834,2026-04-05 02:41:24.247 -0300
M20260271522,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.01412254862596,-38.47491128221553,2026-04-05 02:41:24.250 -0300
M20260271595,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7199695778282114,-38.475073623166736,2026-04-05 02:51:23.416 -0300
M20260271592,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.306983233564832,-39.30179592231889,2026-04-05 02:51:23.448 -0300
M20260271593,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.264176561168407,-38.932367966469755,2026-04-05 02:51:23.451 -0300
M20260271594,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7633274935462246,-38.61807720235952,2026-04-05 02:51:23.454 -0300
M20260271590,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.134205160677113,-38.09504853570032,2026-04-05 02:51:23.457 -0300
M20260271589,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.6963902118574654,-40.36635411050601,2026-04-05 02:51:23.461 -0300
M20260271588,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.6798051727791004,-40.371647621679834,2026-04-05 02:51:23.464 -0300
M20260271587,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.6926186791671696,-40.366198444554584,2026-04-05 02:51:23.466 -0300
M20260271585,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8782739322641,-38.67374352909721,2026-04-05 02:51:23.470 -0300
M20260271583,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.4937821639860966,-39.597433323277606,2026-04-05 02:51:23.473 -0300
M20260271582,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.1004106564233975,-38.153187023878885,2026-04-05 02:51:23.476 -0300
M20260271580,MARIA DA PENHA,-3.725502382232225,-38.497212012934185,2026-04-05 02:51:23.479 -0300
M20260271579,MARIA DA PENHA,-5.125982837933046,-39.729137749086675,2026-04-05 02:51:23.481 -0300
M20260271578,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7850098909646195,-38.54820621198141,2026-04-05 02:51:23.484 -0300
M20260271576,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.852586960619204,-38.48275751671697,2026-04-05 02:51:23.486 -0300
M20260271575,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.2132736141421185,-39.30014679824112,2026-04-05 02:51:23.489 -0300
M20260271571,MARIA DA PENHA,-7.236614568894843,-39.33044823488256,2026-04-05 02:51:23.491 -0300
M20260271569,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.243975884293052,-39.3176251329051,2026-04-05 02:51:23.494 -0300
M20260271568,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.798597986433825,-40.264849298733445,2026-04-05 02:51:23.496 -0300
M20260271567,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.861736000140796,-38.58631247897352,2026-04-05 02:51:23.499 -0300
M20260271566,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.09687613984285,-38.36239025957466,2026-04-05 02:51:23.501 -0300
M20260271565,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.893263825022816,-38.67436710648222,2026-04-05 02:51:23.503 -0300
M20260271564,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.4945247832758084,-39.57624608749771,2026-04-05 02:51:23.506 -0300
M20260271563,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.1337427842627354,-38.09609009828091,2026-04-05 02:51:23.508 -0300
M20260271562,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.802401912290731,-38.54366627000974,2026-04-05 02:51:23.511 -0300
M20260271618,DISPARO DE ARMA,-3.81734463591405,-38.614273161357886,2026-04-05 03:01:22.705 -0300
M20260271616,ROUBO DE VEÍCULO,-3.834004072205645,-38.507932834616994,2026-04-05 03:01:22.738 -0300
M20260271617,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7113907896426004,-38.6045724424987,2026-04-05 03:01:22.741 -0300
M20260271614,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.2303397961677427,-40.12346080346802,2026-04-05 03:01:22.745 -0300
