hex_id,janela_tempo,contagem_bruta,score_risco_total,hora,dia_semana,hora_sin,hora_cos,dia_sin,dia_cos,peso_cobertura
8980020ca4fffff,2026-04-04 00:00:00,1,1.0,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-02-25 18:00:00,2,13.0,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-02-27 00:00:00,1,8.5,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-02-27 06:00:00,1,4.0,6,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-02-27 12:00:00,1,3.0,12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-01 00:00:00,1,8.0,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-01 18:00:00,1,8.0,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-02 06:00:00,1,6.0,6,0,1.0,6.123233995736766e-17,0.0,1.0,0.0
8980020ca53ffff,2026-03-02 18:00:00,1,8.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0
8980020ca53ffff,2026-03-04 06:00:00,1,4.0,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-03-04 18:00:00,2,17.0,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-03-05 12:00:00,1,8.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-03-05 18:00:00,1,7.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-03-06 18:00:00,1,8.5,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-08 00:00:00,1,8.5,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-08 18:00:00,2,16.0,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
