"ocorrencia","tipo_desc","latitude","longitude","created_at"
M20260294387,MARIA DA PENHA,-5.177853425729844,-40.671815012254925,2026-04-15 16:40:30.259 -0300
M20260294384,MARIA DA PENHA,-3.704742891887657,-40.336451760788215,2026-04-15 16:40:30.262 -0300
M20260294381,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.07244182322247,-37.9891734094855,2026-04-15 16:40:30.266 -0300
M20260294403,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.4613663924145373,-40.20890451402727,2026-04-15 16:50:27.343 -0300
M20260294402,FURTO DE VEÍCULO,-3.8116759750005964,-38.58820113201876,2026-04-15 16:50:27.348 -0300
M20260294420,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8109999919710282,-38.55118475464481,2026-04-15 17:00:28.852 -0300
M20260294418,MARIA DA PENHA,-3.515267264563323,-39.494037044632016,2026-04-15 17:00:28.886 -0300
M20260294416,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.996351483355483,-39.06207181586511,2026-04-15 17:00:28.889 -0300
M20260294411,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.775827872247275,-38.57089259562719,2026-04-15 17:00:28.892 -0300
M20260294426,MARIA DA PENHA,-3.772931505965999,-38.61159315483303,2026-04-15 17:10:28.682 -0300
M20260294423,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.902002195121519,-38.68460834254178,2026-04-15 17:10:28.718 -0300
M20260294435,MARIA DA PENHA,-7.210405372443829,-39.30697501926112,2026-04-15 17:20:30.012 -0300
M20260294432,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.070468568906614,-37.98949363693718,2026-04-15 17:20:30.017 -0300
M20260294446,MARIA DA PENHA,-3.8716266871651435,-38.58037743243042,2026-04-15 17:30:28.960 -0300
M20260294443,TRÁFICO,-3.725389025749331,-38.58455164847642,2026-04-15 17:30:28.994 -0300
M20260294457,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.780225198424808,-38.597069813308245,2026-04-15 17:40:28.659 -0300
M20260294454,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7624268308074162,-38.60003902858346,2026-04-15 17:40:28.694 -0300
M20260294465,FURTO DE VEÍCULO,-3.7397092716189335,-38.509723592095455,2026-04-15 17:50:28.885 -0300
M20260294464,EMBRIAGUEZ E DESORDEM,-7.495291175831356,-38.98617571357834,2026-04-15 17:50:28.889 -0300
M20260294482,FURTO,-3.7875187917135995,-38.50544379611459,2026-04-15 18:00:29.435 -0300
M20260294481,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.100132779356974,-38.48351411141754,2026-04-15 18:00:29.471 -0300
M20260294479,CONSUMO DE ENTORPECENTES,-3.7446858352131103,-38.49830994353894,2026-04-15 18:00:29.475 -0300
M20260294477,FURTO DE VEÍCULO,-3.758432635814836,-38.48818192968881,2026-04-15 18:00:29.479 -0300
M20260294494,FURTO DE VEÍCULO,-3.758432635814836,-38.48818192968881,2026-04-15 18:10:29.451 -0300
M20260294489,MARIA DA PENHA,-3.8591086211368504,-38.584923010705296,2026-04-15 18:10:29.455 -0300
M20260294507,MARIA DA PENHA,-3.836175850879078,-38.518011452166625,2026-04-15 18:20:29.814 -0300
M20260294503,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8416775673102666,-38.48411011478773,2026-04-15 18:20:29.823 -0300
M20260294498,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.9012695891507203,-38.62183320998499,2026-04-15 18:20:29.827 -0300
M20260294497,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.796473324764695,-38.49384388483377,2026-04-15 18:20:29.830 -0300
M20260294528,MARIA DA PENHA,-3.722752998219885,-38.5594812068061,2026-04-15 18:30:30.288 -0300
M20260294520,FURTO DE VEÍCULO,-3.719034854573004,-38.576868474000655,2026-04-15 18:30:30.325 -0300
M20260294517,EMBRIAGUEZ E DESORDEM,-5.518530005382344,-38.27044709472709,2026-04-15 18:30:30.328 -0300
M20260294545,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.395556597919566,-40.31213120385011,2026-04-15 18:40:34.590 -0300
